Item Name,Category,Delete
1 '' PVc clamp P,PVC Items,
1 '' PVC Pipe 2 mm,PVC Items,
"1 Ethical Paper - 25"" X 36 "" - 80 gsm",Recycled paper Products,
1 HP motor repaired,Repairs and Maintenance,
1 mm Washer,Elecric & Machine Tools,
1'' Pop screw,Elecric & Machine Tools,
1'' PVC Band,PVC Items,
1'' PVC Colar,PVC Items,
1'' PVC Hose Pipe,PVC Items,
1 SQ MM WIRE,Elecric & Machine Tools,
"1"" Pop screw",Elecric & Machine Tools,
"1"" Pvc Hose pipe",PVC Items,
1.0*4 4 Core cable,PVC Items,
1.5 mm 2 core copper cable,Wire,
1.5 sq mm 2 core cable (15 mtr),Wire,
1.5SQ MM WIRE,Wire,
1.5sqmm redwire  2 coil,Wire,
1/2 Hp Motor,Machine,
10 HP Motor Rewinding Work,Machine,
10 sqmm flexible cable ,Wire,
100 G ACCURACY,Others,
100 Watt Light,Lighting Items,
100 X 150 MM ( 1AC DT,Wire,
100gms,Others,
100watt Led Flood Light,Lighting Items,
10mm copper wire,Wire,
10mm lugs,Elecric & Machine Tools,
10mm Wires 30 meater,Wire,
10sqmm Pin Type Lug,Elecric & Machine Tools,
10sqmm Ring Type Lug,Elecric & Machine Tools,
1173_12 Adjustable Spanner,Elecric & Machine Tools,
11MM RUBBER BOARD,Rubber,Remove
12 MM RECYCLE PLASTIC SHEET,Plastics,
12 V Battery,Battery,
1200MM Ceiling Fan,Fan,
12ft Roofing Sheet,Recycled Roofing Sheet,
12mm,Others,
12MM RECYCLED PLASTIC SHEET,Plastics,
12mm),Others,
12modular type box,Elecric & Machine Tools,
12V 65AH SMF Battery,Battery,
12V Battery,Battery,
14inch,Others,
150gms,Others,
16 Amps 3 pin plug,Elecric & Machine Tools,
16 Amps Socket,Elecric & Machine Tools,
16 Amps switch,Elecric & Machine Tools,
16 sq. mm Copper Wire,Wire,
16 sqmm flexible cable ,Wire,
16 sqmm Ring Type Lug,Elecric & Machine Tools,
16A Socket,Elecric & Machine Tools,
16A Switch,Elecric & Machine Tools,
16Amps 3 Pin Plug,Elecric & Machine Tools,
16AMPS SP MCB,Elecric & Machine Tools,
16sqmm Pin Type Lug,Elecric & Machine Tools,
1736 L Handle,Others,
18mm,Others,
18MM RECYCLED PLASTIC SHEET,Plastics,
19 MM PVC BEND,PVC Items,
19MM PVC PIPE WHITE PLAST,PVC Items,
19MM TEE,Others,
1by2 Hosepipe 15 mtrs,PVC Items,
1inch bend  5 nos,Others,
1inch clure  15 nos,Others,
1inch J Box PVC 8 nos,Elecric & Machine Tools,
1inch pipe 25 nos,PVC Items,
1sqmm wire L,Wire,
2 Fire bucket with stand,Others,
2' Flexible Hose Pipe,PVC Items,
2 Model Box Plate 5 nos,Elecric & Machine Tools,
2 Pol Mcb Box Metal,Elecric & Machine Tools,
2.5 mm *3 core Copper cable,Wire,
2.5 mm 3 core cable lying and plug top and MCB fixing 16A,Wire,
2.5 MM 5 core cable,Wire,
2.5 sq 3 core cable 26 metres,Wire,
2.5 sqmm wire L,Wire,
2.5mm Lugs,Elecric & Machine Tools,
2.5mm Wire,Wire,
2.5sqmm wire  1 coil,Wire,
2.5sqmm wire L,Wire,
20 A socket ,Elecric & Machine Tools,
20 Amps Switch,Elecric & Machine Tools,
200mm Exhaust fan,Fan,
20A Switch Box,Elecric & Machine Tools,
20MM NEL CALAMP,Others,
22mm Dummy Hole,Others,
24'' Fan Repair Almonds,Fan,
"24"" Fan Repair",Fan,
"24"" Fan Repair & Fitting",Fan,
"24"" Wall Fan",Fan,
24Liters Oil Free Air Compressor,Others,
24MM Recycled Plastic Sheet,Plastics,
25 A/4 poll RCCB,Elecric & Machine Tools,
250gsm Recycled Paper,Recycled paper Products,
25MM NEL CALAMP ,Others,
25MM Nel Clamp,Others,
25mm PVC elbo,PVC Items,
25mm PVC pipe,PVC Items,
25MM PVC PIPE WHITE PLAST,PVC Items,
25mm PVC TEE,PVC Items,
25MM TEE,Others,
3 ph Energy meter,Energy Meter,
3 ph meter box (metal),Elecric & Machine Tools,
3 WAY JUNCTION BOX,Elecric & Machine Tools,
3/4 18 guage square tube,Wire,
3/4 Heavy quality mesh,Others,
300 DPI BARCODE PRINTER,Printer,
300 mm Cable tie,Wire,
30W LED TUBE,Lighting Items,
32 A 5 pin A/C Box,Elecric & Machine Tools,
32 Amps 2 pol Mcb,Elecric & Machine Tools,
32 Amps 4 pol Mcb,Elecric & Machine Tools,
32A 5pin A/C Box,Elecric & Machine Tools,
3480 B Bezzle,Others,
3480 Base,Others,
3480 Touchpad Click,Computer and Accessories,
3490 Touchpad Click,Computer and Accessories,
4 pole 63A MCB with End,Elecric & Machine Tools,
4 Sq mm* 3 core Copper Flexible cable,Wire,
4 sq. mm Copper Wire,Wire,
4 SQMM * 4 core copper flexible cable,Wire,
4 sqmm * 5 Core copper cable,Wire,
4+1 Spake Buster 5mtr,Others,
4000 LABELS PER ROLL,Recycled paper Products,
400MM WALL FAN HI FLO,Fan,
45 Watt led street light,Lighting Items,
4U Network rack With Accessories WITH POWER STRIP,IT Software & Networking,
5% Retention Amount,Others,
50 Watt Led Flood light,Lighting Items,
50 X 25 MM ( 2AC POLYSTER,Others,
500 LABELS PER ROLL,Recycled paper Products,
50Watt light,Lighting Items,
5400 SCREEN,Others,
5480 Laptop Battery,Battery,
5A Plug top  3 nos,Elecric & Machine Tools,
5A socket  5 nos,Elecric & Machine Tools,
5A switch 5 nos,Elecric & Machine Tools,
5HP DEWATERING MACHINE,Others,
5k 10 Round Pot meter,Others,
6 Amps Switch,Elecric & Machine Tools,
6 Module plate & box,Elecric & Machine Tools,
600 KG CAPACITY,Others,
63 AMPS 4 POL MCB,Elecric & Machine Tools,
6A 1 IN 1 SOCKET,Elecric & Machine Tools,
6Amps Socket,Elecric & Machine Tools,
6ft Roofing sheet,Recycled Roofing Sheet,
6mm,Others,
7480 Screen,Others,
8 MM RECYCLE PLASTIC SHEET,Plastics,
8 Model PVC box plate 1 nos,PVC Items,
8 Module plate & Box ,Elecric & Machine Tools,
8 Way Db Box,Elecric & Machine Tools,
840 Screw Driver Set,Elecric & Machine Tools,
8ft Roofing sheet,Recycled Roofing Sheet,
8mm,Others,
8mm Bolt and Nut,Elecric & Machine Tools,
8mm Pneumatic Pipe Spiral,PVC Items,
9'' Exhaust fan,Fan,
9 W LED Bulb,Lighting Items,
9 Watt Emergancy light ,Lighting Items,
9 Watt led Bulb,Lighting Items,
9 Watt led inverter lamp,Lighting Items,
9watt Led Inverter Lamp,Lighting Items,
A 4 Sheets,Recycled paper Products,
A1 (80GSM) Recycled Paper,Recycled paper Products,
"A1 Ethical Paper 25 X 36"" 100 GSM",Recycled paper Products,
A1 sheets,Recycled paper Products,
A1398,Others,
A1466,Others,
A1990,Others,
A2141,Others,
A3 Posters,Recycled paper Products,
A4 120gsm Paper Sheet,Recycled paper Products,
A4 COPIER PAPER 500 SHEETS PACK,Recycled paper Products,
A4 Envelopes,Recycled paper Products,
A4 Posters,Recycled paper Products,
A4 Spiral Pad,Recycled paper Products,
A5 Size Recycled Paper Brouchers,Recycled paper Products,
Aaditi Large community composter,Composter,
Aaga Gaia Key (CC004K),Others,
ABC 4Kg Capacity Fire Extinguisher,Fire Extinguisher,
ABC 6Kg capacity fire extinguisher,Fire Extinguisher,
Abila 50 E-Autoscrubbe,Others,
Ac standard installation,Others,
Accenture Validation Manpower Charges,Charges,
accomodation,Charges,
Ace Transportation,Transportation,
Acid,Others,
Activation API,Others,
Activation for API,Others,
Adapter,Computer and Accessories,
Adjustable Wrench 1173 12inch Taparia,Others,
Advance,Others,
AFR Plastic Waste,Plastics,
AFR Plastics Waste,Plastics,
After Sale Book (CC004Q),Recycled paper Products,
Air Compressor Moisture Water Trap Filter,Others,
Air Conditioner(CEEW 4),Air Conditioner,
AIR COOLER SERIES ELVENT 90 LTR,Air Conditioner,
air quality monitoring,Others,
Air sample Analysis,Others,
Alanki Nut bolt with washer,Elecric & Machine Tools,
Allen Key Set AKM 9 Taparia,Others,
ALMONARD AIR CIRCULATOR 450MM PEDESTIAL FAN,Fan,
"ALMONARD AIR-CIRCULATOR INDUSTRIAL 18"" WALL FAN",Fan,
ALUMINIUM,Aluminum Scrap,
Aluminium Foil,Aluminum Scrap,
Aluminium frame work,Aluminum Scrap,
Aluminium Metal,Aluminum Scrap,
Aluminium Partition,Aluminum Scrap,
Aluminum Cans,Aluminum Scrap,
AM CR150 TALL TUBULAR BATTERY (36+18),Battery,
AM HB950 HI-BACKUP PURE SINEWAVE H-UPS,Battery,
Amazon - Thermocoal Clearance,Others,
AMC,Others,
AMC - ASSET TRACKER,Others,
AMC OFFER,Others,
