Item Name,Item Category,,,
Ewaste,Mixed E-waste,,,Ewaste
Waste Management fee for Lut,Services,,,Waste Management fee for Lut
Consultation Charges for LUT,Services,,,Consultation Charges for LUT
E-Waste Collection Fee,Services,,,E-Waste Collection Fee
CEEW1 - CRT monitor & TV,LED/LCD/TV,,,CEEW1 - CRT monitor & TV
"CEEW1 - LED, LCD, TV full unit",LED/LCD/TV,,,"CEEW1 - LED, LCD, TV full unit"
CEEW1 - Loose TV plastics,LED/LCD/TV,,,CEEW1 - Loose TV plastics
CEEW1 - Plasma full unit,LED/LCD/TV,,,CEEW1 - Plasma full unit
CEEW1 - TFT Monitor full unit,LED/LCD/TV,,,CEEW1 - TFT Monitor full unit
ITEW6 Printers,Printer Relevant,,,ITEW6 Printers
Mix E-waste (NGO - KR2 Pick up - 18-06-2020),Mixed E-waste,,,Mix E-waste (NGO - KR2 Pick up - 18-06-2020)
Ewaste Compliance Charges,Services,,,Ewaste Compliance Charges
ITEW 6 Printers & Cartridges,Printer Relevant,,,ITEW 6 Printers & Cartridges
ITEW7 Copying Machines,Copying Machine,,,ITEW7 Copying Machines
Mix E-waste,Mixed E-waste,,,Mix E-waste
E Waste,Mixed E-waste,,,E Waste
Scrap Printers,Printer Relevant,,,Scrap Printers
CEEW 2 - E-waste Scrap Refrigerator,Refrigerator,,,CEEW 2 - E-waste Scrap Refrigerator
Carton Boxes,Others,,,Carton Boxes
E-Waste Collection & Disposal,Others,,,E-Waste Collection & Disposal
Ewaste Collection and Channelisation,Others,,,Ewaste Collection and Channelisation
CEEW 3 - E-waste Scrap Washing Machine,Washing Machine,,,CEEW 3 - E-waste Scrap Washing Machine
E- Waste Awareness,Awareness,,,E- Waste Awareness
E waste disposal,Others,,,E waste disposal
E-waste Awareness,Awareness,,,E-waste Awareness
Scrap Clearing & Disposal,Services,,,Scrap Clearing & Disposal
Consultancy Fee,Services,,,Consultancy Fee
E-waste Collection and Recycling Charges for ITEW 6,Printer Relevant,,,E-waste Collection and Recycling Charges for ITEW 6
E-Waste,Mixed E-waste,,,E-Waste
E-waste Collection & Recycling Charges for ITEW 21,ITEW21,,,E-waste Collection & Recycling Charges for ITEW 21
ITEW 6 - E-waste Scrap Printers & Cartridges,Printer Relevant,,,ITEW 6 - E-waste Scrap Printers & Cartridges
E-Waste Collection & Recycling charges of Refrigerator (CEEW2),Refrigerator,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2)
E-Waste Collection & Recycling charges of Washing Machine (CEEW3),Washing Machine,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3)
ITEW 7 - E-waste Scrap copying equipment,Copying Machine,,,ITEW 7 - E-waste Scrap copying equipment
SWP-Transportation,Services,,,SWP-Transportation
E-waste collection and Recycling charges for CEEW 13,CEEW13,,,E-waste collection and Recycling charges for CEEW 13
Composting units,Composting,,,Composting units
E- Waste assets Recycling,Others,,,E- Waste assets Recycling
Service Charge,Services,,,Service Charge
"E-Waste EPR Credit Transfer.
The Service Ensure the Targets of TOTO is credited to TOTO EPR Account from the Authorized Recycler. Submissions to
TOTO will be done by 15th of March every Financial year. As per Annexure -1 1EA ==1 JOB/SET
",Others,,,"E-Waste EPR Credit Transfer.
The Service Ensure the Targets of TOTO is credited to TOTO EPR Account from the Authorized Recycler. Submissions to
TOTO will be done by 15th of March every Financial year. As per Annexure -1 1EA ==1 JOB/SET
"
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Aug '22,Refrigerator,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Aug '22
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Aug '22,Washing Machine,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Aug '22
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Sep '22,Refrigerator,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Sep '22
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Sep '22,Washing Machine,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Sep '22
E-Waste Collection and Disposal Charges,Services,,,E-Waste Collection and Disposal Charges
E-waste Collection & Recycling Charges of ITEW 6,Printer Relevant,,,E-waste Collection & Recycling Charges of ITEW 6
E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Oct '22,Refrigerator,,,E-Waste Collection & Recycling charges of Refrigerator (CEEW2) for month of Oct '22
E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Oct '22,Washing Machine,,,E-Waste Collection & Recycling charges of Washing Machine (CEEW3) for month of Oct '22
E-Waste Collection & Recycling charges of AC (CEEW4) for month of Oct '22,Air Conditioner,,,E-Waste Collection & Recycling charges of AC (CEEW4) for month of Oct '22
CEEW 4 - Air-conditioners excluding centralised air conditioning plants,Air Conditioner,,,CEEW 4 - Air-conditioners excluding centralised air conditioning plants
E-waste Collection and Recycling Charge of ITEW 15 (Mobiles),Mobiles,,,E-waste Collection and Recycling Charge of ITEW 15 (Mobiles)
Waste Management and Cleaning Services Fee,Services,,,Waste Management and Cleaning Services Fee
