Item Name,Category
1 '' PVc clamp P,PVC
1 '' PVC Pipe 2 mm,PVC
"1 Ethical Paper - 25"" X 36 "" - 80 gsm",Paper
1 HP motor repaired,Motor
1 mm Washer,Washer
1'' Pop screw,Screw
1'' PVC Band,PVC
1'' PVC Colar,PVC
1'' PVC Hose Pipe,PVC
1 SQ MM WIRE,Wire
"1"" Pop screw",Screw
"1"" Pvc Hose pipe",PVC
1.0*4 4 Core cable,PVC
1.5 mm 2 core copper cable,Wire
1.5 sq mm 2 core cable (15 mtr),Wire
1.5SQ MM WIRE,Wire
1.5sqmm redwire  2 coil,Wire
1/2 Hp Motor,Machine
10 HP Motor Rewinding Work,Machine
10 sqmm flexible cable ,Wire
100 G ACCURACY,Others
100 Watt Light,Light
100 X 150 MM ( 1AC DT,Wire
100gms,Others
100watt Led Flood Light,Light
10mm copper wire,Wire
10mm lugs,Lug
10mm Wires 30 meater,Wire
10sqmm Pin Type Lug,Lug
10sqmm Ring Type Lug,Lug
1173_12 Adjustable Spanner,Spanner
11MM RUBBER BOARD,Rubber
12 MM RECYCLE PLASTIC SHEET,Plastics
12 V Battery,Battery
1200MM Ceiling Fan,Fan
12ft Roofing Sheet,Sheet
12mm,Others
12MM RECYCLED PLASTIC SHEET,Plastics
12mm),Others
12modular type box,Box
12V 65AH SMF Battery,Battery
12V Battery,Battery
14inch,Others
150gms,Others
16 Amps 3 pin plug,Switch
16 Amps Socket,Switch
16 Amps switch,Switch
16 sq. mm Copper Wire,Wire
16 sqmm flexible cable ,Wire
16 sqmm Ring Type Lug,Lug
16A Socket,Switch
16A Switch,Switch
16Amps 3 Pin Plug,Switch
16AMPS SP MCB,Switch
16sqmm Pin Type Lug,Lug
1736 L Handle,Others
18mm,Others
18MM RECYCLED PLASTIC SHEET,Plastics
19 MM PVC BEND,PVC
19MM PVC PIPE WHITE PLAST,PVC
19MM TEE,Others
1by2 Hosepipe 15 mtrs,PVC
1inch bend  5 nos,Others
1inch clure  15 nos,Others
1inch J Box PVC 8 nos,Box
1inch pipe 25 nos,PVC
1sqmm wire L,Wire
2 Fire bucket with stand,Others
2' Flexible Hose Pipe,PVC
2 Model Box Plate 5 nos,Box
2 Pol Mcb Box Metal,Switch
2.5 mm *3 core Copper cable,Wire
2.5 mm 3 core cable lying and plug top and MCB fixing 16A,Wire
2.5 MM 5 core cable,Wire
2.5 sq 3 core cable 26 metres,Wire
2.5 sqmm wire L,Wire
2.5mm Lugs,Lug
2.5mm Wire,Wire
2.5sqmm wire  1 coil,Wire
2.5sqmm wire L,Wire
20 A socket ,Switch
20 Amps Switch,Switch
200mm Exhaust fan,Fan
20A Switch Box,Switch
20MM NEL CALAMP,Others
22mm Dummy Hole,Others
24'' Fan Repair Almonds,Fan
"24"" Fan Repair",Fan
"24"" Fan Repair & Fitting",Fan
"24"" Wall Fan",Fan
24Liters Oil Free Air Compressor,Others
24MM Recycled Plastic Sheet,Plastics
25 A/4 poll RCCB,Switch
250gsm Recycled Paper,Paper
25MM NEL CALAMP ,Others
25MM Nel Clamp,Others
25mm PVC elbo,PVC
25mm PVC pipe,PVC
25MM PVC PIPE WHITE PLAST,PVC
25mm PVC TEE,PVC
25MM TEE,Others
3 ph Energy meter,Energy Meter
3 ph meter box (metal),Switch
3 WAY JUNCTION BOX,Switch
3/4 18 guage square tube,Wire
3/4 Heavy quality mesh,Others
300 DPI BARCODE PRINTER,Printer
300 mm Cable tie,Wire
30W LED TUBE,Light
32 A 5 pin A/C Box,Switch
32 Amps 2 pol Mcb,Switch
32 Amps 4 pol Mcb,Switch
32A 5pin A/C Box,Switch
3480 B Bezzle,Others
3480 Base,Others
3480 Touchpad Click,Laptop
3490 Touchpad Click,Laptop
4 pole 63A MCB with End,Switch
4 Sq mm* 3 core Copper Flexible cable,Wire
4 sq. mm Copper Wire,Wire
4 SQMM * 4 core copper flexible cable,Wire
4 sqmm * 5 Core copper cable,Wire
4+1 Spake Buster 5mtr,Others
4000 LABELS PER ROLL,Paper
400MM WALL FAN HI FLO,Fan
45 Watt led street light,Light
4U Network rack With Accessories WITH POWER STRIP,IT
5% Retention Amount,Others
50 Watt Led Flood light,Light
50 X 25 MM ( 2AC POLYSTER,Others
500 LABELS PER ROLL,Paper
50Watt light,Light
5400 SCREEN,Others
5480 Laptop Battery,Battery
5A Plug top  3 nos,Switch
5A socket  5 nos,Switch
5A switch 5 nos,Switch
5HP DEWATERING MACHINE,Others
5k 10 Round Pot meter,Others
6 Amps Switch,Switch
6 Module plate & box,Switch
600 KG CAPACITY,Others
63 AMPS 4 POL MCB,Switch
6A 1 IN 1 SOCKET,Switch
6Amps Socket,Switch
6ft Roofing sheet,Sheet
6mm,Others
7480 Screen,Others
8 MM RECYCLE PLASTIC SHEET,Plastics
8 Model PVC box plate 1 nos,PVC
8 Module plate & Box ,Box
8 Way Db Box,Box
840 Screw Driver Set,Screw
8ft Roofing sheet,Sheet
8mm,Others
8mm Bolt and Nut,Screw
8mm Pneumatic Pipe Spiral,PVC
9'' Exhaust fan,Fan
9 W LED Bulb,Light
9 Watt Emergancy light ,Light
9 Watt led Bulb,Light
9 Watt led inverter lamp,Light
9watt Led Inverter Lamp,Light
A 4 Sheets,Sheet
A1 (80GSM) Recycled Paper,Paper
"A1 Ethical Paper 25 X 36"" 100 GSM",Paper
A1 sheets,Sheet
A1398,Others
A1466,Others
A1990,Others
A2141,Others
A3 Posters,Paper
A4 120gsm Paper Sheet,Paper
A4 COPIER PAPER 500 SHEETS PACK,Paper
A4 Envelopes,Paper
A4 Posters,Paper
A4 Spiral Pad,Paper
A5 Size Recycled Paper Brouchers,Paper
Aaditi Large community composter,Compost
Aaga Gaia Key (CC004K),Others
ABC 4Kg Capacity Fire Extinguisher,Fire Extinguisher
ABC 6Kg capacity fire extinguisher,Fire Extinguisher
Abila 50 E-Autoscrubbe,Others
Ac standard installation,Others
Accenture Validation Manpower Charges,Charges
accomodation,Charges
Ace Transportation,Transport
Acid,Others
Activation API,Others
Activation for API,Others
Adapter,Laptop
Adjustable Wrench 1173 12inch Taparia,Others
Advance,Others
AFR Plastic Waste,Plastics
AFR Plastics Waste,Plastics
After Sale Book (CC004Q),Paper
Air Compressor Moisture Water Trap Filter,Others
Air Conditioner(CEEW 4),Air Conditioner
AIR COOLER SERIES ELVENT 90 LTR,Air Conditioner
air quality monitoring,Others
Air sample Analysis,Others
Alanki Nut bolt with washer,Screw
Allen Key Set AKM 9 Taparia,Others
ALMONARD AIR CIRCULATOR 450MM PEDESTIAL FAN,Fan
"ALMONARD AIR-CIRCULATOR INDUSTRIAL 18"" WALL FAN",Fan
ALUMINIUM,Metal
Aluminium Foil,Metal
Aluminium frame work,Metal
Aluminium Metal,Metal
Aluminium Partition,Metal
Aluminum Cans,Metal
AM CR150 TALL TUBULAR BATTERY (36+18),Battery
AM HB950 HI-BACKUP PURE SINEWAVE H-UPS,Battery
Amazon - Thermocoal Clearance,Others
AMC,Others
AMC - ASSET TRACKER,Others
AMC OFFER,Others
AMC Start Date:- 28/02/2023 End Date:- 29/02/2024,Others
Anchor bolt,Screw
ANCHOR SPIKE GURAD 4+1 ,Spanner
Andwans ,Others
Andwans payment ,Charges
Annual health checkup for field team,Charges
Annual Subscription Charges ,Charges
Anti Vibration Mounting Pads,Vibration
Anti vibratory,Vibration
Antiseptic Liquid,Others
APC 1.1.KVA UPS,Battery
API Activation ,Others
Api License ,Others
API License (Yearly),Others
API-Activation,Others
API-License (Yearly),Others
Apron,Others
Assembling & Dissmentling of  conveyor mezzanine,Charges
Assembling Cost,Charges
Asset tracker 1,Others
Asset tracker device,Others
Assorted Products,Others
Attendance Register,Paper
Auto,Others
Automatic battery charger,Battery
Awareness & IEC Goa MRF Project,Awareness
Awareness SPCB event,Awareness
AXR8 RESIN RIBBON 110 X 300 MTR,Others
Background verification,Others
Backhoe loader charges,Charges
Badges,Badges
Bags,Bags
Bail tie,Others
Bailer Repair,Others
Balance ,Others
Balck PP Bale,Plastics
Bale Patty Straps,Others
Baler Machine New Stand,Others
Baler Machine wire connection & Conveyor Machine 2 MCB Connection,Machine
Baling Charges,Charges
Baling Machine,Machine
Baling Machine - Motor Starter & Coil Replacement,Machine
Baling Machine Motor Repaird,Machine
Baling Machine Repair,Machine
Ball bearing,Machine
Bamboo Straw,Eco
Banana Fibre Products,Eco
Banner,Banner
Banner Canvas (4.5*3),Banner
Banner Canvas (5*4),Banner
Banner Canvas (8.5*4),Banner
Batteries,Battery
Battery Cable,Battery
BATTERY CHARGER,Battery
BATTERY CHARGER SEMI ELE,Battery
Battery Interlink & cables,Battery
Battery Pack and Cables ,Battery
Battery Rack with Top Cover,Battery
Bearing Box,Machine
Bearing Set,Machine
BGA REWORK  MACHINE,Machine
Bhagwati General Store,Others
big vehicle,Vehicle
Big vehicle Accenture,Vehicle
Big vehicle Infosys Mcity AC foam clearance,Vehicle
Bill Books Printing Charges,Charges
Binder Clips 32mm,Others
Bins,Bins
Bio floor & toilet cleaner,Bio
Bio Floor Cleaner,Bio
Bio metric device,Machine
Biobac Transportation charges ,Charges
BIOCON INSULATION TAPE,Plastics
Bioculum,Bio
biomedical incineration,Bio
Biomedical Waste Disposal,Bio
Biometric Device,Machine
Bizlog Collection center,Collection
BLACK HIIT,Others
Black hit,Others
Black PP,Plastics
Black Road Waste,Others
Blade Holding Shaft,Others
Blades,Others
Bleaching powder,Others
Blower,Machine
Blown Film Extrusion,Others
Blue Harpic,Plastics
Blue HDPE,HDPE
"blue jerkin with 2"" radium",Others
Bluetooth dongle,Laptop
BNC Box,Box
BNSH 140/4 with M16x1.5x150mm ,Others
BOARD,Board
Boat pouch,Others
Bonus,Others
Book Printing & Binding 1/4th,Paper
Book shelf,Plastics
Book Shelves,Plastics
Bora Bag Small,Bags
bora bags,Bags
bora bags (big),Bags
Bore well Maintenance,Services
Borewell Motor Problem,Machine
BOSCH BLOWER,Machine
Box Drawer,Box
Box File,Box
Box files,Box
box printing &pasting,Box
Box showcase,Box
BPL Ac 1.5T,Others
Breaker Charges (Boulders Breaking),Charges
Brochure,Paper
Broken Glass,Others
Brokerage Service Charges towards Land Facilitation relating to MRF Unit 02,Charges
Brookfield - Ace Transportation (Dry),Transport
Brookfield - canter transportation (dry),Transport
Broom stick,Bio
BRUSHES,Others
BSNL - Internet,Services
Bucket Composter,Compost
Bule Shredded HDPE (Ujala),HDPE
Bunting,Paper
Bush,Others
Butter - Milk,Paper
Butter milk,Paper
BVC 2.0,Others
C G Holder,Others
C&D Transport and Processing ,Transport
C&D waste processing,Collection
Cabinet,Furniture
Cable laying,Wire
Cable Routing and Labour Charges,Wire
Cable tie,Wire
Cable tie 200mm,Wire
Cable ties (Tags),Wire
Cables & Accessories,Wire
Cabling/1MT,Wire
Calibration for Electronic Weighing Scales,Machine
Calibrations for Electronic Weighing Scales,Machine
Camera Fitting Charges,Charges
Camera Fitting Charges - indoor,Charges
Camera Support,Camera
Canter Transportation Charges,Transport
Canvas Banner 4.5*3,Banner
Canvas Banner 5*4,Banner
Canvas Banner 8.5*4,Banner
CAPPER,Others
Carbon Sheet,Sheet
Cardboard/carton,Box
Carpentary work,Others
Carton Bags,Bags
Carton Box (Baled),Box
Carton Box 2-,Box
Carton Box No 2 -,Box
Carton Boxes,Box
Carton Rolls,Paper
CARTONS,Box
Cascade Bale Clamp with Hydraulics,Screw
CAT 5e CCTV Cable,Camera
CAT 6 CABLE / 1 MTR,Wire
CAT 6 Cable Wiring,Wire
Cat 6a Cable shielded,Wire
Cat 6a I/O Keystone,Others
Catalogue,Paper
CC Just Dispose ,Paper
CCTV,Camera
CCTV Camera ,Camera
CCTV Connectors,Camera
CEEW 1(CRT/LED/LCD TV),LED/LCD/TV
CEEW 3 (Refrigetor),Refrigerator
CEEW 3 (Washing Machine),Washing Machine
CEEW 4 (Air conditioner),Air Conditioner
CEEW 4 (Washing Machine),Washing Machine
CEEW1 - CRT monitor & TV,LED/LCD/TV
CEEW1 - LED,LED/LCD/TV
CEEW1 - TFT Monitor full unit,LED/LCD/TV
CEEW1 - TV stand,LED/LCD/TV
Centre squeegee rubber,Rubber
Ceramics,Others
Certificate,Paper
Chair,Plastics
"Chair - 18""",Plastics
Chairs 26' Height,Plastics
Channelization of E-Waste,Collection
Charges for Destruction of EWaste,Charges
Charges for disposal of sanitary waste,Charges
checked and removed,Others
Chopper bearing set assemble (new),Machine
Chopper blades,Machine
Chopper Machine,Machine
Cibil Check,Others
Civil Work,Services
Clamp,Screw
CLAMP TYPE MAGNIFIER,Screw
Clean cloth collecting,Textiles
Clean textile waste,Textiles
Cleaning Service ,Services
CLEANING SUPPLIES,Bio
Cloth,Textiles
Cloth Bags,Textiles
Cloth Banner,Textiles
Cloth Banner 4*3,Textiles
Cloth Banner 5*4,Textiles
Cloth Banner 6*3,Textiles
cloth banner canva,Textiles
Cloth Masks,Textiles
Cloth toys - big,Textiles
Cloth toys - small,Textiles
Cloth Velvet,Textiles
Cloth-Segregated Combustibe Fraction-,Textiles
Cloud Hosting,Services
CnD waste handling,Others
Co2 4.5Kg Capacity Fire Extinguisher,Fire Extinguisher
CO2 Fire extinguisher 2 Kg,Fire Extinguisher
Coasters,Plastics
COATED GLOVES,Textiles
Coats- Field Staff,Textiles
Coconut Broom Stick,Bio
Coconut Shell,Others
Coconut Shells,Others
Cocopeat,Others
Cocopeat - 1 Kg (AC0080),Others
Cocopeat Scoop (CC004O),Others
coffee Powder,Others
Colin,Bio
Collection Centers Rent,Collection
Collection drive (E-waste),Collection
Collection Drive E-waste,Collection
Collection Services of Non Hazardous Recycled mat,Collection
COLOR PAPER,Paper
Color PP,Plastics
COLORED PLASTIC FLEXIBLE,Plastics
Colour LD,Paper
Colour Paper,Paper
Colour Pet,Plastics
Colour PP,Plastics
Commercial Vehicle procurement,Vehicle
Commissioning Charges,Charges
Compartment door work,Services
Compost,Compost
Compost Curing System,Compost
Compost Hut,Compost
Compost Hut-Bin,Compost
Composting Brick,Compost
Composting Consumables,Compost
Computer Repair,Services
Computer Table,Furniture
Conference Hall Charges,Charges
Consultancy Fee,Consultancy
consultancy services,Consultancy
Consulting Charges for E Waste Clearance services,Consultancy
Consumables,Consumables
Consumables delivery,Consumables
CONTRACTOR SERVICE ,Services
Conveyor Belt,Machine
Conveyor belt not worked and controlling wiring,Machine
Conveyor Machine,Machine
Conveyor Machine Installation Charges,Machine
Conveyor-VFD Problem,Machine
Co-ordination & Management Fee,Charges
Co-Ordination&Management Fee,Charges
Coordinator Fee ,Charges
Coordinator Fees,Charges
Copier Paper A4,Paper
Copper Bus,Wire
Copper Bus Bar,Wire
Copper flexible cable,Wire
Copper Wire,Wire
Copper Wire 1.6,Wire
Co-Processing Charges,Charges
Cordination Fees,Charges
Core copper cable,Wire
Cork Diaries - Hardbound,Paper
Cotton Mask,Textiles
Cotton Straw Pouch ,Textiles
cotton thread,Textiles
cotton thread roll,Textiles
Coupling washer,Others
Courier & Parcel Charges,Charges
Crane ,Machine
CRANE HIRING CHARGES,Charges
Criminal Check,Others
Crimping,Others
CT COM,Others
CT- Upcycled Bantings,Paper
CT- Upcycled Bells - Big,Others
CT- Upcycled Bells - Small,Others
CT- Upcycled Patchwork Bag,Bags
CT- Upcycled Patchwork Coasters,Plastics
CT- Upcycled Placemats,Plastics
Ctb 1803 Cantilever Tool Box Taparia,Others
CTB1805 Tool Box Metal,Others
CT-Upcycled Cloth Masks,Textiles
Cupboard,Others
Curd,Others
Cut Resestance Gloves,Others
Cutting and Sanding,Services
"Cutting Machine 8""",Machine
D.E.O Spanner 10by11 Taparia,Spanner
D.E.O Spanner 12by13 Taparia,Spanner
D.E.O Spanner 14by15 Taparia,Spanner
D.E.O Spanner 18by19 Taparia,Spanner
D.E.O Spanner 20by22 Taparia,Spanner
D.E.O Spanner 21by23 Taparia,Spanner
D.E.O Spanner 24by27 Taparia,Spanner
D.E.O Spanner 30by32 Taparia,Spanner
D.E.O Spanner 36by41  Taparia,Spanner
D.E.O Spanner 6by7 Taparia 24.58,Spanner
D.E.O Spanner 8by9 Taparia,Spanner
D.E.O Spanner16by17 Taparia,Spanner
Daily jaunt bag,Bags
Dangler/Tags,Paper
DC POT METER,Wire
DDT30PJC2,Others
Decomposer inoculants,Compost
Delivery Charges,Charges
Dell 18.5inch Monitor,Laptop
DELL LOGO,Plastics
Denim Diaries - Hardbound,Paper
Denim Diaries - Softbound,Paper
Denim Laptop Bag,Textiles
Denim laptop sleeve,Textiles
Denim Sling bag,Textiles
DEP 10 x 11 Dbye Spanner,Spanner
DEP 12 x 13 Dbye Spanner,Spanner
DEP 14 x 15 Dbye Spanner,Spanner
DEP 16 x 17 Dbye Spanner,Spanner
DEP 18 X1 9 Dbye Spanner ,Spanner
DEP 20 x 22 Dbye Spanner,Spanner
DEP 21 x 23 Dbye Spanner ,Spanner
DEP 24 x 27 Dbye Spanner ,Spanner
DEP 30 x 32 Dbye Spanner ,Spanner
DEP 8 x 9 Dbye Spanner,Spanner
DER 36 x 41 Dbye Spanner ,Spanner
DER 46 x 50 Dbye Spanner,Spanner
Design of webinar invite,Paper
DESIGNING CHARGER ,Laptop
Desktop Cabinet,Furniture
Desktop Computer,Laptop
Detention,Others
Detergent Powder - 1/2 Kg,Bio
Detergent Soap,Bio
Dettol H/W,Bio
Dettol Soap,Bio
Development & Integration Cost,Charges
Development of training materials,Services
Development of video for GIZ project,Services
Device Accessories,Machine
Dewatering Screw Press,Screw
Die Face Cutter,Others
DISH WASH,Bio
Dismantling Bench ,Others
Dispenser,Plastics
Display Port to Vga Converter,Laptop
Disposal and Processing Charge,Charges
Distruction Of E-waste,Services
Divyasree - 407/Bolero Vehicle Transportation Charges,Transport
Divyasree - Small Vehicle Transportation charge,Transport
DLink Cat 6 Cable,Wire
D-Link Cat 6 Cable,Wire
Dob Bags,Bags
Docket,Others
Doctor Consultation,Charges
Door to Door Collection,Collection
Dowel Pins,Others
Dpoint Waste Collection,Collection
Dr Waste to MRF,Others
Draw Bar Axle,Metal
Drive potentiometer,Switch
Drive Roller,Others
Drum,Others
Dry waste and Mixed waste Processing,Mixed Ewaste
dry waste bags ,Bags
Dry waste Clearance ,Dry
Dry Waste Payback,Dry
Dry Waste Reject,Dry
Dry Waste to MRF,Dry
DT 1_IMP_ NATURAL WHITE,Others
Dust Mask Yellow,Textiles
Duster Machine,Machine
Dusting Cloth,Textiles
DVR,Others
DWCC Fire Audit ,Others
E Waste ,Mixed Ewaste
E waste disposal (Hazardous E waste),Hazardous
E waste Tube lights ,Light
E.B Door work,Others
Earned Salary ,Services
Earth Pit,Dry
EASEL STAND,Plastics
ECG,Machine
Eco Board : 12mm,Board
Eco Board : 18mm,Board
Eco Board : 25mm,Board
Eco Board : 30mm,Board
Eco Board : 5mm,Board
Eco Board : 8mm ,Board
Eco Board Planter,Board
Eco Friendly Plantable Kit,Bio
Eco Round Neck Print,Bio
Education Check,Others
ELE Bend,Others
ELE Pipe,PVC
Electical cable,Wire
Electric Mesh for Shredder Machine,Machine
Electric router,Machine
Electric Work,Services
Electrical,Services
Electrical Audit,Services
Electrical Bulbs,Light
Electrical design,Others
Electrical Fittings,Wire
Electrical Items,Mixed Ewaste
Electrical Spares & Service,Services
ELECTRICAL WIRING ,Wire
ELECTRICAL WIRING MATERIAL,Wire
Electrical work,Services
Electricity AC 220V ,Air Conditioner
ELECTRICITY BILL(MONTHLY),Charges
Electronic weighing scale service,Services
Electronic Weighing Scale Spares,Machine
Eletrical Equipments old conveyor,Machine
Ellenvipro Organic Wet Waste Composter,Compost
Elmec PP Thread 840/2/y 1000 mtrs cone - White colour,Textiles
Emergancy Box & Connection,Wire
Emergency board,Board
Emergency Lights,Light
Emergency Preparedness Training,Awareness
Emergency switch,Switch
Employee ESIC,Services
Employee PF,Charges
Engineering & Execution,Charges
ENI Hydraulic Oil Aw 68(210 Ltr)(N),Others
Envelope,Paper
Enzyme Premix,Bio
EPR Consultancy Fee,Consultancy
EPR Credit Transfer,Charges
EPR E waste Credits,Charges
EPR FEE,Charges
EPR incentive,Charges
ERECTION INSTALLATION CHARGES,Charges
ESD back to back Workstation - 2 Tier,Mixed Ewaste
ESD Tile Flooring,Tiles
ESD Tiles Flooring,Tiles
ESD Workstation - 2 Tier (Single Sided),Mixed Ewaste
ESSAE DS 215 N,Others
Essae Electronic Weighing Scale,Machine
"Ethical paper - 25""x36"" - 75 GSM",Paper
"Ethical Paper 25 X 36"" 100 GSM",Paper
Ethical sourcing incentive,Charges
Ethical Surcharges,Charges
event,Awareness
Ewaste,Mixed Ewaste
E-Waste,Mixed Ewaste
E-waste Awareness,Awareness
E-waste Awareness Offline,Awareness
E-Waste Awareness Online,Awareness
E-Waste Awareness SPCB,Awareness
E-Waste Bin,Bins
e-waste channelization through collection drive,Collection
E-Waste Collection Drive,Collection
E-Waste Collection Drive.,Collection
E-Waste Collection Fee,Charges
Ewaste Compliance Charges,Charges
E-Waste Event conduction with SPCB,Awareness
E-waste offline awareness,Awareness
E-Waste offline awareness.,Awareness
E-Waste online awareness,Awareness
E-Waste online awareness.,Awareness
Exhaust Fan Installation,Fan
Exhaust Fans,Fan
Exo,Bio
Exo - bar,Bio
Exo bar,Bio
Exo dish wash,Bio
Expired Salt Disposal,Bio
Extra Curricular Activities,Awareness
EXTRA KILOMETER,Others
Extra KM,Others
EXTRA KM.,Others
EXTRA KM...,Others
ExxtendIT Consumables,IT
ExxtendIT fabrication work,IT
ExxtendIT Services,Services
Fabric note book (A4),Paper
Fabric note book (A5 - size 1),Paper
Fabric note book (A5 - size 2),Paper
Fabric Work & Labour Charges,Charges
Fabricated collection chute for 2 out puts,Collection
Fabricated Feeding platform,Others
Fabricated Stand for Vib screen,Others
Fabrication,Others
Face Device,Machine
FaceBot (f31) - Face Recogniti on Attendanc e and Access Control System,Machine
FaceBot (f31) - Face Recognition Attendance and Access Control System,Machine
